learner,qini_score,auuc_score
S-Learner,0.17459682018363235,0.005737560689964638
T-Learner,0.15263893933980305,0.005016308062735536
X-Learner,0.17530668963335785,0.0057623863910404305
R-Learner,0.16600837813684274,0.0054477487330423105
