strategy,auuc,qini,pct_of_cate_auuc,pct_of_cate_qini
X-learner CATE,0.0057623863910404305,0.17530668963335785,100.0,100.0
"Exposure P(E|T=1,X)",0.005470727944137118,0.16683345859705778,94.93858226243222,95.16662424347795
Expected Uplift P(E)×LATE(X),0.005200019224609695,0.15795337657582048,90.24072444525545,90.10116893209799
