learner,fraction_targeted,cumulative_uplift
S-Learner,73112.0,1214.0092930696107
S-Learner,73581.0,1219.438260489134
S-Learner,74031.0,1240.4290951095236
S-Learner,74497.0,1236.692517360001
S-Learner,74956.0,1243.2135585131027
S-Learner,75417.0,1235.9670121587976
S-Learner,75885.0,1251.2211331816134
S-Learner,76326.0,1270.4092036320135
S-Learner,76778.0,1273.762503832842
S-Learner,77246.0,1271.9363500626084
S-Learner,77713.0,1283.733472059284
S-Learner,78191.0,1284.2863738257126
S-Learner,78661.0,1282.9977590247902
S-Learner,79120.0,1295.5845384578645
S-Learner,79570.0,1276.3634100436143
S-Learner,80041.0,1279.8287721395911
S-Learner,80501.0,1300.427706783419
S-Learner,80967.0,1288.8245558742462
S-Learner,81415.0,1290.0128556051834
S-Learner,81870.0,1297.00844610477
S-Learner,82331.0,1304.8640566121665
S-Learner,82788.0,1305.2608448770752
S-Learner,83230.0,1295.9624927670015
S-Learner,83686.0,1307.073837366631
S-Learner,84140.0,1325.2491925816987
S-Learner,84602.0,1328.7964381023726
S-Learner,85068.0,1340.571509064767
S-Learner,85542.0,1337.072913848998
S-Learner,86006.0,1340.9539572569252
S-Learner,86458.0,1346.8495130629362
S-Learner,86910.0,1351.326808770257
S-Learner,87365.0,1354.0251920930975
S-Learner,87827.0,1359.5176022610506
S-Learner,88279.0,1367.3238681027483
S-Learner,88735.0,1353.2171762555652
S-Learner,89196.0,1353.084313714981
S-Learner,89662.0,1364.0762381860832
S-Learner,90127.0,1373.9132349770762
S-Learner,90589.0,1382.488082730887
S-Learner,91060.0,1384.6445253913278
S-Learner,91523.0,1397.291158026125
S-Learner,91999.0,1399.8114214125292
S-Learner,92449.0,1401.673447861449
S-Learner,92905.0,1378.9755428841636
S-Learner,93369.0,1381.3291430619186
S-Learner,93830.0,1389.7958590220526
S-Learner,94277.0,1418.447421282764
S-Learner,94726.0,1418.4531106794657
S-Learner,95183.0,1425.452337741964
S-Learner,95633.0,1426.3485113070583
S-Learner,96099.0,1414.826696966882
S-Learner,96554.0,1421.2614187133015
S-Learner,97012.0,1418.0477232862236
S-Learner,97468.0,1423.2783570879203
S-Learner,97941.0,1430.3152358826787
S-Learner,98398.0,1416.9939601779663
S-Learner,98845.0,1411.198057308372
S-Learner,99292.0,1414.6559952348011
S-Learner,99747.0,1423.0298677323751
S-Learner,100204.0,1414.140394212328
S-Learner,100668.0,1419.0274930466976
S-Learner,101131.0,1410.987997182595
S-Learner,101584.0,1406.2559989436554
S-Learner,102040.0,1414.3697342660607
S-Learner,102499.0,1407.53439068767
S-Learner,102970.0,1416.2514789685124
S-Learner,103430.0,1424.1620260421414
S-Learner,103900.0,1408.8504327063786
S-Learner,104368.0,1424.6838263947589
S-Learner,104833.0,1422.669388197108
S-Learner,105297.0,1435.7125234603673
S-Learner,105770.0,1439.3695730340914
S-Learner,106226.0,1444.0541202914258
S-Learner,106692.0,1442.6338357611344
S-Learner,107167.0,1441.0628246679528
S-Learner,107612.0,1455.1549725754064
S-Learner,108102.0,1465.859509392408
S-Learner,108563.0,1480.0314816538546
S-Learner,109028.0,1493.1501524849818
S-Learner,109506.0,1498.2031991926435
S-Learner,109971.0,1505.760294859091
S-Learner,110452.0,1496.6566582609107
S-Learner,110942.0,1487.5646193696482
S-Learner,111405.0,1495.8743579584468
S-Learner,111868.0,1501.3097334434276
S-Learner,112326.0,1496.6060592668762
S-Learner,112804.0,1478.5931277647317
S-Learner,113266.0,1480.679970152568
S-Learner,113752.0,1492.3161186517098
S-Learner,114270.0,1484.1430977512716
S-Learner,114734.0,1470.4366299410954
S-Learner,115202.0,1488.8144723771816
S-Learner,115676.0,1490.3119905367678
S-Learner,116141.0,1493.5982884230757
S-Learner,116610.0,1502.2109710699128
S-Learner,117080.0,1515.3069863358803
S-Learner,117534.0,1504.0860550340824
S-Learner,117994.0,1493.6197890363917
