strategy,fraction_targeted,cumulative_uplift
X-learner CATE,608659.0,2704.4850472218454
X-learner CATE,611373.0,2705.7215711893236
X-learner CATE,614104.0,2708.131485156156
X-learner CATE,616822.0,2712.7668631152324
X-learner CATE,619538.0,2717.4299521174935
X-learner CATE,622279.0,2721.0236297889937
X-learner CATE,624995.0,2727.0607348395747
X-learner CATE,627710.0,2732.2490057375253
X-learner CATE,630425.0,2735.7275837805973
X-learner CATE,633140.0,2739.3161891053765
X-learner CATE,635856.0,2743.1761995943884
X-learner CATE,638576.0,2739.868837160678
X-learner CATE,641308.0,2741.963798876575
X-learner CATE,644024.0,2729.469803364676
X-learner CATE,646741.0,2731.459350692227
X-learner CATE,649458.0,2733.5165361831064
X-learner CATE,652173.0,2738.7065873899933
X-learner CATE,654890.0,2742.864425026396
X-learner CATE,657608.0,2742.598939064364
X-learner CATE,660348.0,2743.202726562361
X-learner CATE,663074.0,2745.772639316946
X-learner CATE,665791.0,2750.7370552607176
X-learner CATE,668509.0,2745.1139132606427
X-learner CATE,671228.0,2742.6518094965472
X-learner CATE,673944.0,2743.5163874154114
X-learner CATE,676658.0,2745.920527618946
X-learner CATE,679450.0,2750.6333993857843
X-learner CATE,682173.0,2749.7012689745848
X-learner CATE,684890.0,2753.041936873214
X-learner CATE,687606.0,2755.505348572119
X-learner CATE,690333.0,2758.7179485192346
X-learner CATE,693049.0,2764.137095355436
X-learner CATE,695777.0,2767.173064384848
X-learner CATE,698499.0,2771.209077044271
X-learner CATE,701329.0,2777.677370205297
X-learner CATE,704157.0,2780.0930232584637
X-learner CATE,706873.0,2787.1806359544134
X-learner CATE,709655.0,2791.3838382700783
X-learner CATE,712407.0,2800.039436156602
X-learner CATE,715145.0,2806.05569821317
X-learner CATE,717867.0,2813.0311960833906
X-learner CATE,720586.0,2818.6377551306223
X-learner CATE,723311.0,2814.328363374891
X-learner CATE,726035.0,2819.5971564581937
X-learner CATE,728791.0,2822.8611987821
X-learner CATE,731569.0,2826.565188923226
X-learner CATE,734319.0,2832.6680710414817
X-learner CATE,737141.0,2837.6321648768103
X-learner CATE,739894.0,2840.161092655121
X-learner CATE,742625.0,2840.2952610588504
X-learner CATE,745340.0,2841.4907426777745
X-learner CATE,748057.0,2845.8249612693785
X-learner CATE,750817.0,2848.191652949683
X-learner CATE,753532.0,2850.0364989931645
X-learner CATE,756300.0,2849.0559623770428
X-learner CATE,759016.0,2852.54294152663
X-learner CATE,761731.0,2855.5272481283064
X-learner CATE,764477.0,2855.611492832856
X-learner CATE,767233.0,2859.3621598105724
X-learner CATE,769950.0,2860.583383649751
X-learner CATE,772685.0,2863.572281411587
X-learner CATE,775409.0,2864.9699322787355
X-learner CATE,778124.0,2865.6392238775124
X-learner CATE,780838.0,2866.254546073087
X-learner CATE,783553.0,2868.106019737799
X-learner CATE,786268.0,2869.747578622178
X-learner CATE,788983.0,2872.486958822311
X-learner CATE,791700.0,2866.73571117908
X-learner CATE,794424.0,2869.100101588828
